image,label
./Data/All\Fake\000122.jpg,Fake
./Data/All\Fake\000123.jpg,Fake
./Data/All\Fake\000124.jpg,Fake
./Data/All\Fake\000125.jpg,Fake
./Data/All\Fake\000126.jpg,Fake
./Data/All\Fake\000127.jpg,Fake
./Data/All\Fake\000128.jpg,Fake
./Data/All\Fake\000129.jpg,Fake
./Data/All\Fake\000130.jpg,Fake
./Data/All\Fake\000131.jpg,Fake
./Data/All\Fake\000132.jpg,Fake
./Data/All\Fake\000133.jpg,Fake
./Data/All\Fake\000134.jpg,Fake
./Data/All\Fake\000135.jpg,Fake
./Data/All\Fake\000136.jpg,Fake
./Data/All\Fake\000137.jpg,Fake
./Data/All\Fake\000138.jpg,Fake
./Data/All\Fake\000139.jpg,Fake
./Data/All\Fake\000140.jpg,Fake
./Data/All\Fake\000141.jpg,Fake
./Data/All\Fake\000142.jpg,Fake
./Data/All\Fake\000143.jpg,Fake
./Data/All\Fake\000144.jpg,Fake
./Data/All\Fake\000145.jpg,Fake
./Data/All\Fake\000146.jpg,Fake
./Data/All\Fake\000147.jpg,Fake
./Data/All\Fake\000148.jpg,Fake
./Data/All\Fake\000149.jpg,Fake
./Data/All\Fake\000150.jpg,Fake
./Data/All\Fake\000151.jpg,Fake
./Data/All\Fake\000152.jpg,Fake
./Data/All\Fake\000153.jpg,Fake
./Data/All\Fake\000154.jpg,Fake
./Data/All\Fake\000155.jpg,Fake
./Data/All\Fake\000156.jpg,Fake
./Data/All\Fake\000157.jpg,Fake
./Data/All\Fake\000158.jpg,Fake
./Data/All\Fake\000159.jpg,Fake
./Data/All\Fake\000160.jpg,Fake
./Data/All\Fake\000161.jpg,Fake
./Data/All\Fake\000162.jpg,Fake
./Data/All\Fake\000163.jpg,Fake
./Data/All\Fake\000164.jpg,Fake
./Data/All\Fake\000165.jpg,Fake
./Data/All\Fake\000166.jpg,Fake
./Data/All\Fake\000167.jpg,Fake
./Data/All\Fake\000168.jpg,Fake
./Data/All\Fake\000169.jpg,Fake
./Data/All\Fake\000170.jpg,Fake
./Data/All\Fake\000171.jpg,Fake
./Data/All\Fake\000172.jpg,Fake
./Data/All\Fake\000173.jpg,Fake
./Data/All\Fake\000174.jpg,Fake
./Data/All\Fake\000175.jpg,Fake
./Data/All\Fake\000176.jpg,Fake
./Data/All\Fake\000177.jpg,Fake
./Data/All\Fake\000178.jpg,Fake
./Data/All\Fake\000179.jpg,Fake
./Data/All\Fake\000180.jpg,Fake
./Data/All\Fake\000181.jpg,Fake
./Data/All\Fake\000182.jpg,Fake
./Data/All\Fake\000183.jpg,Fake
./Data/All\Fake\000184.jpg,Fake
./Data/All\Fake\000185.jpg,Fake
./Data/All\Fake\000186.jpg,Fake
./Data/All\Fake\000187.jpg,Fake
./Data/All\Fake\000188.jpg,Fake
./Data/All\Fake\000189.jpg,Fake
./Data/All\Fake\000190.jpg,Fake
./Data/All\Fake\000191.jpg,Fake
./Data/All\Fake\000192.jpg,Fake
./Data/All\Fake\000193.jpg,Fake
./Data/All\Fake\000194.jpg,Fake
./Data/All\Fake\000195.jpg,Fake
./Data/All\Fake\000196.jpg,Fake
./Data/All\Fake\000197.jpg,Fake
./Data/All\Fake\000198.jpg,Fake
./Data/All\Fake\000199.jpg,Fake
./Data/All\Fake\000200.jpg,Fake
./Data/All\Fake\000201.jpg,Fake
./Data/All\Fake\000202.jpg,Fake
./Data/All\Fake\000203.jpg,Fake
./Data/All\Fake\000204.jpg,Fake
./Data/All\Fake\000205.jpg,Fake
./Data/All\Fake\000206.jpg,Fake
./Data/All\Fake\000207.jpg,Fake
./Data/All\Fake\000208.jpg,Fake
./Data/All\Fake\000209.jpg,Fake
./Data/All\Fake\000210.jpg,Fake
./Data/All\Fake\000211.jpg,Fake
./Data/All\Fake\000212.jpg,Fake
./Data/All\Fake\000213.jpg,Fake
./Data/All\Fake\000214.jpg,Fake
./Data/All\Fake\000215.jpg,Fake
./Data/All\Fake\000216.jpg,Fake
./Data/All\Fake\000217.jpg,Fake
./Data/All\Fake\000218.jpg,Fake
./Data/All\Fake\000219.jpg,Fake
./Data/All\Fake\000220.jpg,Fake
./Data/All\Fake\000221.jpg,Fake
./Data/All\Fake\000222.jpg,Fake
./Data/All\Fake\000223.jpg,Fake
./Data/All\Fake\000224.jpg,Fake
./Data/All\Fake\000225.jpg,Fake
./Data/All\Fake\000226.jpg,Fake
./Data/All\Fake\000227.jpg,Fake
./Data/All\Fake\000228.jpg,Fake
./Data/All\Fake\000229.jpg,Fake
./Data/All\Fake\000230.jpg,Fake
./Data/All\Fake\000231.jpg,Fake
./Data/All\Fake\000232.jpg,Fake
./Data/All\Fake\000233.jpg,Fake
./Data/All\Fake\000234.jpg,Fake
./Data/All\Fake\000235.jpg,Fake
./Data/All\Fake\000236.jpg,Fake
./Data/All\Fake\000237.jpg,Fake
./Data/All\Fake\000238.jpg,Fake
./Data/All\Fake\000239.jpg,Fake
./Data/All\Fake\000240.jpg,Fake
./Data/All\Fake\000241.jpg,Fake
./Data/All\Fake\000242.jpg,Fake
./Data/All\Fake\000243.jpg,Fake
./Data/All\Fake\000244.jpg,Fake
./Data/All\Fake\000245.jpg,Fake
./Data/All\Fake\000246.jpg,Fake
./Data/All\Fake\000247.jpg,Fake
./Data/All\Fake\000248.jpg,Fake
./Data/All\Fake\000249.jpg,Fake
./Data/All\Fake\000250.jpg,Fake
./Data/All\Fake\000251.jpg,Fake
./Data/All\Fake\000252.jpg,Fake
./Data/All\Fake\000253.jpg,Fake
./Data/All\Fake\000254.jpg,Fake
./Data/All\Fake\000255.jpg,Fake
./Data/All\Fake\000256.jpg,Fake
./Data/All\Fake\000257.jpg,Fake
./Data/All\Fake\000258.jpg,Fake
./Data/All\Fake\000259.jpg,Fake
./Data/All\Fake\000260.jpg,Fake
./Data/All\Fake\000261.jpg,Fake
./Data/All\Fake\000262.jpg,Fake
./Data/All\Fake\000263.jpg,Fake
./Data/All\Fake\000264.jpg,Fake
./Data/All\Fake\000265.jpg,Fake
./Data/All\Fake\000266.jpg,Fake
./Data/All\Fake\000267.jpg,Fake
./Data/All\Fake\000268.jpg,Fake
./Data/All\Fake\000269.jpg,Fake
./Data/All\Fake\000270.jpg,Fake
./Data/All\Fake\000271.jpg,Fake
./Data/All\Fake\000272.jpg,Fake
./Data/All\Fake\000273.jpg,Fake
./Data/All\Fake\000274.jpg,Fake
./Data/All\Fake\000275.jpg,Fake
./Data/All\Fake\000276.jpg,Fake
./Data/All\Fake\000277.jpg,Fake
./Data/All\Fake\000278.jpg,Fake
./Data/All\Fake\000279.jpg,Fake
./Data/All\Fake\000280.jpg,Fake
./Data/All\Fake\000281.jpg,Fake
./Data/All\Fake\000282.jpg,Fake
./Data/All\Fake\000283.jpg,Fake
./Data/All\Fake\000284.jpg,Fake
./Data/All\Fake\000285.jpg,Fake
./Data/All\Fake\000286.jpg,Fake
./Data/All\Fake\000287.jpg,Fake
./Data/All\Fake\000288.jpg,Fake
./Data/All\Fake\000289.jpg,Fake
./Data/All\Fake\000290.jpg,Fake
./Data/All\Fake\000291.jpg,Fake
./Data/All\Fake\000292.jpg,Fake
./Data/All\Fake\000293.jpg,Fake
./Data/All\Fake\000294.jpg,Fake
./Data/All\Fake\000295.jpg,Fake
./Data/All\Fake\000296.jpg,Fake
./Data/All\Fake\000297.jpg,Fake
./Data/All\Fake\000298.jpg,Fake
./Data/All\Fake\000299.jpg,Fake
./Data/All\Fake\000300.jpg,Fake
./Data/All\Fake\000301.jpg,Fake
./Data/All\Fake\000302.jpg,Fake
./Data/All\Fake\000303.jpg,Fake
./Data/All\Fake\000304.jpg,Fake
./Data/All\Fake\000305.jpg,Fake
./Data/All\Fake\000306.jpg,Fake
./Data/All\Fake\000307.jpg,Fake
./Data/All\Fake\000308.jpg,Fake
./Data/All\Fake\000309.jpg,Fake
./Data/All\Fake\000310.jpg,Fake
./Data/All\Fake\000311.jpg,Fake
./Data/All\Fake\000312.jpg,Fake
./Data/All\Fake\000313.jpg,Fake
./Data/All\Fake\000314.jpg,Fake
./Data/All\Fake\000315.jpg,Fake
./Data/All\Fake\000316.jpg,Fake
./Data/All\Fake\000317.jpg,Fake
./Data/All\Fake\000318.jpg,Fake
./Data/All\Fake\000319.jpg,Fake
./Data/All\Fake\000320.jpg,Fake
./Data/All\Fake\000321.jpg,Fake
./Data/All\Fake\000322.jpg,Fake
./Data/All\Fake\000323.jpg,Fake
./Data/All\Fake\000324.jpg,Fake
./Data/All\Fake\000325.jpg,Fake
./Data/All\Fake\000326.jpg,Fake
./Data/All\Fake\000327.jpg,Fake
./Data/All\Fake\000328.jpg,Fake
./Data/All\Fake\000329.jpg,Fake
./Data/All\Fake\000330.jpg,Fake
./Data/All\Fake\000331.jpg,Fake
./Data/All\Fake\000332.jpg,Fake
./Data/All\Fake\000333.jpg,Fake
./Data/All\Fake\000334.jpg,Fake
./Data/All\Fake\000335.jpg,Fake
./Data/All\Fake\000336.jpg,Fake
./Data/All\Fake\000337.jpg,Fake
./Data/All\Fake\000338.jpg,Fake
./Data/All\Fake\000339.jpg,Fake
./Data/All\Fake\000340.jpg,Fake
./Data/All\Fake\000341.jpg,Fake
./Data/All\Fake\000342.jpg,Fake
./Data/All\Fake\000343.jpg,Fake
./Data/All\Fake\000344.jpg,Fake
./Data/All\Fake\000345.jpg,Fake
./Data/All\Fake\000346.jpg,Fake
./Data/All\Fake\000347.jpg,Fake
./Data/All\Fake\000348.jpg,Fake
./Data/All\Fake\000349.jpg,Fake
./Data/All\Fake\000350.jpg,Fake
./Data/All\Fake\000351.jpg,Fake
./Data/All\Fake\000352.jpg,Fake
./Data/All\Fake\000353.jpg,Fake
./Data/All\Fake\000354.jpg,Fake
./Data/All\Fake\000355.jpg,Fake
./Data/All\Fake\000356.jpg,Fake
./Data/All\Fake\000357.jpg,Fake
./Data/All\Fake\000358.jpg,Fake
./Data/All\Fake\000359.jpg,Fake
./Data/All\Fake\000360.jpg,Fake
./Data/All\Fake\000361.jpg,Fake
./Data/All\Fake\000362.jpg,Fake
./Data/All\Fake\000363.jpg,Fake
./Data/All\Fake\000364.jpg,Fake
./Data/All\Fake\000365.jpg,Fake
./Data/All\Fake\000366.jpg,Fake
./Data/All\Fake\000367.jpg,Fake
./Data/All\Fake\000368.jpg,Fake
./Data/All\Fake\000369.jpg,Fake
./Data/All\Fake\000370.jpg,Fake
./Data/All\Fake\000371.jpg,Fake
./Data/All\Fake\000372.jpg,Fake
./Data/All\Fake\000373.jpg,Fake
./Data/All\Fake\000374.jpg,Fake
./Data/All\Fake\000375.jpg,Fake
./Data/All\Fake\000376.jpg,Fake
./Data/All\Fake\000377.jpg,Fake
./Data/All\Fake\000378.jpg,Fake
./Data/All\Fake\000379.jpg,Fake
./Data/All\Fake\000380.jpg,Fake
./Data/All\Fake\000381.jpg,Fake
./Data/All\Fake\000382.jpg,Fake
./Data/All\Fake\000383.jpg,Fake
./Data/All\Fake\000384.jpg,Fake
./Data/All\Fake\000385.jpg,Fake
./Data/All\Fake\000386.jpg,Fake
./Data/All\Fake\000387.jpg,Fake
./Data/All\Fake\000388.jpg,Fake
./Data/All\Fake\000389.jpg,Fake
./Data/All\Fake\000390.jpg,Fake
./Data/All\Fake\000391.jpg,Fake
./Data/All\Fake\000392.jpg,Fake
./Data/All\Fake\000393.jpg,Fake
./Data/All\Fake\000394.jpg,Fake
./Data/All\Fake\000395.jpg,Fake
./Data/All\Fake\000396.jpg,Fake
./Data/All\Fake\000397.jpg,Fake
./Data/All\Fake\000398.jpg,Fake
./Data/All\Fake\000399.jpg,Fake
./Data/All\Fake\000400.jpg,Fake
./Data/All\Fake\000401.jpg,Fake
./Data/All\Fake\000402.jpg,Fake
./Data/All\Fake\000403.jpg,Fake
./Data/All\Fake\000404.jpg,Fake
./Data/All\Fake\000405.jpg,Fake
./Data/All\Fake\000406.jpg,Fake
./Data/All\Fake\000407.jpg,Fake
./Data/All\Fake\000408.jpg,Fake
./Data/All\Fake\000409.jpg,Fake
./Data/All\Fake\000410.jpg,Fake
./Data/All\Fake\000411.jpg,Fake
./Data/All\Fake\000412.jpg,Fake
./Data/All\Fake\000413.jpg,Fake
./Data/All\Fake\000414.jpg,Fake
./Data/All\Fake\000415.jpg,Fake
./Data/All\Fake\000416.jpg,Fake
./Data/All\Fake\000417.jpg,Fake
./Data/All\Fake\000418.jpg,Fake
./Data/All\Fake\000419.jpg,Fake
./Data/All\Fake\000420.jpg,Fake
./Data/All\Fake\000421.jpg,Fake
./Data/All\Fake\000422.jpg,Fake
./Data/All\Fake\000423.jpg,Fake
./Data/All\Fake\000424.jpg,Fake
./Data/All\Fake\000425.jpg,Fake
./Data/All\Fake\000426.jpg,Fake
./Data/All\Fake\000427.jpg,Fake
./Data/All\Fake\000428.jpg,Fake
./Data/All\Fake\000429.jpg,Fake
./Data/All\Fake\000430.jpg,Fake
./Data/All\Fake\000431.jpg,Fake
./Data/All\Fake\000432.jpg,Fake
./Data/All\Fake\000433.jpg,Fake
./Data/All\Fake\000434.jpg,Fake
./Data/All\Fake\000435.jpg,Fake
./Data/All\Fake\000436.jpg,Fake
./Data/All\Fake\000437.jpg,Fake
./Data/All\Fake\000438.jpg,Fake
./Data/All\Fake\000439.jpg,Fake
./Data/All\Fake\000440.jpg,Fake
./Data/All\Fake\000441.jpg,Fake
./Data/All\Fake\000442.jpg,Fake
./Data/All\Fake\000443.jpg,Fake
./Data/All\Fake\000444.jpg,Fake
./Data/All\Fake\000445.jpg,Fake
./Data/All\Fake\000446.jpg,Fake
./Data/All\Fake\000447.jpg,Fake
./Data/All\Fake\000448.jpg,Fake
./Data/All\Fake\000449.jpg,Fake
./Data/All\Fake\000450.jpg,Fake
./Data/All\Fake\000451.jpg,Fake
./Data/All\Fake\000452.jpg,Fake
./Data/All\Fake\000453.jpg,Fake
./Data/All\Fake\000454.jpg,Fake
./Data/All\Fake\000455.jpg,Fake
./Data/All\Fake\000456.jpg,Fake
./Data/All\Fake\000457.jpg,Fake
./Data/All\Fake\000458.jpg,Fake
./Data/All\Fake\000459.jpg,Fake
./Data/All\Fake\000460.jpg,Fake
./Data/All\Fake\000461.jpg,Fake
./Data/All\Fake\000462.jpg,Fake
./Data/All\Fake\000463.jpg,Fake
./Data/All\Fake\000464.jpg,Fake
./Data/All\Fake\000465.jpg,Fake
./Data/All\Fake\000466.jpg,Fake
./Data/All\Fake\000467.jpg,Fake
./Data/All\Fake\000468.jpg,Fake
./Data/All\Fake\000469.jpg,Fake
./Data/All\Fake\000470.jpg,Fake
./Data/All\Fake\000471.jpg,Fake
./Data/All\Fake\000472.jpg,Fake
./Data/All\Fake\000473.jpg,Fake
./Data/All\Fake\000474.jpg,Fake
./Data/All\Fake\000475.jpg,Fake
./Data/All\Fake\000476.jpg,Fake
./Data/All\Fake\000477.jpg,Fake
./Data/All\Fake\000478.jpg,Fake
./Data/All\Fake\000479.jpg,Fake
./Data/All\Fake\000480.jpg,Fake
./Data/All\Fake\000481.jpg,Fake
./Data/All\Fake\000482.jpg,Fake
./Data/All\Fake\000483.jpg,Fake
./Data/All\Fake\000484.jpg,Fake
./Data/All\Fake\000485.jpg,Fake
./Data/All\Fake\000486.jpg,Fake
./Data/All\Fake\000487.jpg,Fake
./Data/All\Fake\000488.jpg,Fake
./Data/All\Fake\000489.jpg,Fake
./Data/All\Fake\000490.jpg,Fake
./Data/All\Fake\000491.jpg,Fake
./Data/All\Fake\000492.jpg,Fake
./Data/All\Fake\000493.jpg,Fake
./Data/All\Fake\000494.jpg,Fake
./Data/All\Fake\000495.jpg,Fake
./Data/All\Fake\000496.jpg,Fake
./Data/All\Fake\000497.jpg,Fake
./Data/All\Fake\000498.jpg,Fake
./Data/All\Fake\000499.jpg,Fake
./Data/All\Fake\000500.jpg,Fake
./Data/All\Fake\000501.jpg,Fake
./Data/All\Fake\000502.jpg,Fake
./Data/All\Fake\000503.jpg,Fake
./Data/All\Fake\000504.jpg,Fake
./Data/All\Fake\000505.jpg,Fake
./Data/All\Fake\000506.jpg,Fake
./Data/All\Fake\000507.jpg,Fake
./Data/All\Fake\000508.jpg,Fake
./Data/All\Fake\000509.jpg,Fake
./Data/All\Fake\000510.jpg,Fake
./Data/All\Fake\000511.jpg,Fake
./Data/All\Fake\000512.jpg,Fake
./Data/All\Fake\000513.jpg,Fake
./Data/All\Fake\000514.jpg,Fake
./Data/All\Fake\000515.jpg,Fake
./Data/All\Fake\000516.jpg,Fake
./Data/All\Fake\000517.jpg,Fake
./Data/All\Fake\000518.jpg,Fake
./Data/All\Fake\000519.jpg,Fake
./Data/All\Fake\000520.jpg,Fake
./Data/All\Fake\000521.jpg,Fake
./Data/All\Fake\000522.jpg,Fake
./Data/All\Fake\000523.jpg,Fake
./Data/All\Fake\000524.jpg,Fake
./Data/All\Fake\000525.jpg,Fake
./Data/All\Fake\000526.jpg,Fake
./Data/All\Fake\000527.jpg,Fake
./Data/All\Fake\000528.jpg,Fake
./Data/All\Fake\000529.jpg,Fake
./Data/All\Fake\000530.jpg,Fake
./Data/All\Fake\000531.jpg,Fake
./Data/All\Fake\000532.jpg,Fake
./Data/All\Fake\000533.jpg,Fake
./Data/All\Fake\000534.jpg,Fake
./Data/All\Fake\000535.jpg,Fake
./Data/All\Fake\000536.jpg,Fake
./Data/All\Fake\000537.jpg,Fake
./Data/All\Fake\000538.jpg,Fake
./Data/All\Fake\000539.jpg,Fake
./Data/All\Fake\000540.jpg,Fake
./Data/All\Fake\000541.jpg,Fake
./Data/All\Fake\000542.jpg,Fake
./Data/All\Fake\000543.jpg,Fake
./Data/All\Fake\000544.jpg,Fake
./Data/All\Fake\000545.jpg,Fake
./Data/All\Fake\000546.jpg,Fake
./Data/All\Fake\000547.jpg,Fake
./Data/All\Fake\000548.jpg,Fake
./Data/All\Fake\000549.jpg,Fake
./Data/All\Fake\000550.jpg,Fake
./Data/All\Fake\000551.jpg,Fake
./Data/All\Fake\000552.jpg,Fake
./Data/All\Fake\000553.jpg,Fake
./Data/All\Fake\000554.jpg,Fake
./Data/All\Fake\000555.jpg,Fake
./Data/All\Fake\000556.jpg,Fake
./Data/All\Fake\000557.jpg,Fake
./Data/All\Fake\000558.jpg,Fake
./Data/All\Fake\000559.jpg,Fake
./Data/All\Fake\000560.jpg,Fake
./Data/All\Fake\000561.jpg,Fake
./Data/All\Fake\000562.jpg,Fake
./Data/All\Fake\000563.jpg,Fake
./Data/All\Fake\000564.jpg,Fake
./Data/All\Fake\000565.jpg,Fake
./Data/All\Fake\000566.jpg,Fake
./Data/All\Fake\000567.jpg,Fake
./Data/All\Fake\000568.jpg,Fake
./Data/All\Fake\000569.jpg,Fake
./Data/All\Fake\000570.jpg,Fake
./Data/All\Fake\000571.jpg,Fake
./Data/All\Fake\000572.jpg,Fake
./Data/All\Fake\000573.jpg,Fake
./Data/All\Fake\000574.jpg,Fake
./Data/All\Fake\000575.jpg,Fake
./Data/All\Fake\000576.jpg,Fake
./Data/All\Fake\000577.jpg,Fake
./Data/All\Fake\000578.jpg,Fake
./Data/All\Fake\000579.jpg,Fake
./Data/All\Fake\000580.jpg,Fake
./Data/All\Fake\000581.jpg,Fake
./Data/All\Fake\000582.jpg,Fake
./Data/All\Fake\000583.jpg,Fake
./Data/All\Fake\000584.jpg,Fake
./Data/All\Fake\000585.jpg,Fake
./Data/All\Fake\000586.jpg,Fake
./Data/All\Fake\000587.jpg,Fake
./Data/All\Fake\000588.jpg,Fake
./Data/All\Fake\000589.jpg,Fake
./Data/All\Fake\000590.jpg,Fake
./Data/All\Fake\000591.jpg,Fake
./Data/All\Fake\000592.jpg,Fake
./Data/All\Fake\000593.jpg,Fake
./Data/All\Fake\000594.jpg,Fake
./Data/All\Fake\000595.jpg,Fake
./Data/All\Fake\000596.jpg,Fake
./Data/All\Fake\000597.jpg,Fake
./Data/All\Fake\000598.jpg,Fake
./Data/All\Fake\000599.jpg,Fake
./Data/All\Fake\000600.jpg,Fake
./Data/All\Fake\000601.jpg,Fake
./Data/All\Fake\000602.jpg,Fake
./Data/All\Fake\000603.jpg,Fake
./Data/All\Fake\000604.jpg,Fake
./Data/All\Fake\000605.jpg,Fake
./Data/All\Fake\000606.jpg,Fake
./Data/All\Fake\000607.jpg,Fake
./Data/All\Fake\000608.jpg,Fake
./Data/All\Fake\000609.jpg,Fake
./Data/All\Fake\000610.jpg,Fake
./Data/All\Fake\000611.jpg,Fake
./Data/All\Fake\000612.jpg,Fake
./Data/All\Fake\000613.jpg,Fake
./Data/All\Fake\000614.jpg,Fake
./Data/All\Fake\000615.jpg,Fake
./Data/All\Fake\000616.jpg,Fake
./Data/All\Fake\000617.jpg,Fake
./Data/All\Fake\000618.jpg,Fake
./Data/All\Fake\000619.jpg,Fake
./Data/All\Fake\000620.jpg,Fake
./Data/All\Fake\000621.jpg,Fake
./Data/All\Fake\000622.jpg,Fake
./Data/All\Fake\000623.jpg,Fake
./Data/All\Fake\000624.jpg,Fake
./Data/All\Fake\000625.jpg,Fake
./Data/All\Fake\000626.jpg,Fake
./Data/All\Fake\000627.jpg,Fake
./Data/All\Fake\000628.jpg,Fake
./Data/All\Fake\000629.jpg,Fake
./Data/All\Fake\000630.jpg,Fake
./Data/All\Fake\000631.jpg,Fake
./Data/All\Fake\000632.jpg,Fake
./Data/All\Fake\000633.jpg,Fake
./Data/All\Fake\000634.jpg,Fake
./Data/All\Fake\000635.jpg,Fake
./Data/All\Fake\000636.jpg,Fake
./Data/All\Fake\000637.jpg,Fake
./Data/All\Fake\000638.jpg,Fake
./Data/All\Fake\000639.jpg,Fake
./Data/All\Fake\000640.jpg,Fake
./Data/All\Fake\000641.jpg,Fake
./Data/All\Fake\000642.jpg,Fake
./Data/All\Fake\000643.jpg,Fake
./Data/All\Fake\000644.jpg,Fake
./Data/All\Fake\000645.jpg,Fake
./Data/All\Fake\000646.jpg,Fake
./Data/All\Fake\000647.jpg,Fake
./Data/All\Fake\000648.jpg,Fake
./Data/All\Fake\000649.jpg,Fake
./Data/All\Fake\000650.jpg,Fake
./Data/All\Fake\000651.jpg,Fake
./Data/All\Fake\000652.jpg,Fake
./Data/All\Fake\000653.jpg,Fake
./Data/All\Fake\000654.jpg,Fake
./Data/All\Fake\000655.jpg,Fake
./Data/All\Fake\000656.jpg,Fake
./Data/All\Fake\000657.jpg,Fake
./Data/All\Fake\000658.jpg,Fake
./Data/All\Fake\000659.jpg,Fake
./Data/All\Fake\000660.jpg,Fake
./Data/All\Fake\000661.jpg,Fake
./Data/All\Fake\000662.jpg,Fake
./Data/All\Fake\000663.jpg,Fake
./Data/All\Fake\000664.jpg,Fake
./Data/All\Fake\000665.jpg,Fake
./Data/All\Fake\000666.jpg,Fake
